Rk,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,1,Monday Apr 6,boxscore,COL,@,MIL,W,10,0,,1-0,1,Tied,Kendrick,Lohse,,3:00,D,46032,+
2,2,Tuesday Apr 7,boxscore,COL,@,MIL,W,5,2,,2-0,1,up 1.0,Lyles,Garza,Hawkins,2:48,N,30222,++
3,3,Wednesday Apr 8,boxscore,COL,@,MIL,W,5,4,10,3-0,1,up 1.0,Hawkins,Rodriguez,Axford,3:15,N,28720,+++
4,4,Friday Apr 10,boxscore,COL,,CHC,W,5,1,,4-0,1,up 1.5,Bergman,Wood,,3:01,D,49303,++++
5,5,Saturday Apr 11,boxscore,COL,,CHC,L,5,9,,4-1,1,up 1.0,Hammel,Kendrick,,3:19,N,43812,-
6,6,Sunday Apr 12,boxscore,COL,,CHC,L,5,6,,4-2,1,up 0.5,Ramirez,Hawkins,Rondon,3:05,D,41363,--
7,7,Monday Apr 13,boxscore,COL,@,SFG,W,2,0,,5-2,1,up 1.0,Butler,Heston,Betancourt,2:58,D,42019,+
8,8,Tuesday Apr 14,boxscore,COL,@,SFG,W,4,1,,6-2,1,up 1.0,Oberg,Hudson,Ottavino,3:09,N,41051,++
9,9,Wednesday Apr 15,boxscore,COL,@,SFG,W,4,2,,7-2,1,up 1.0,Matzek,Lincecum,Ottavino,2:51,N,41188,+++
10,10,Friday Apr 17,boxscore,COL,@,LAD,L,3,7,,7-3,1,Tied,Kershaw,Kendrick,,3:18,N,48950,-
11,11,Saturday Apr 18,boxscore,COL,@,LAD,L,3,6,,7-4,2,1.0,Greinke,Lyles,Peralta,2:55,N,45912,--
12,12,Sunday Apr 19,boxscore,COL,@,LAD,L,0,7,,7-5,3,2.0,McCarthy,Butler,,2:55,D,44666,---
13,13,Monday Apr 20,boxscore,COL,,SDP,L,3,14,,7-6,3,2.5,Despaigne,De La Rosa,,3:09,N,22586,----
14,14,Tuesday Apr 21,boxscore,COL,,SDP,L,6,7,,7-7,3,2.5,Maurer,Logan,Kimbrel,3:06,N,22600,-----
15,15,Wednesday Apr 22,boxscore,COL,,SDP,W-wo,5,4,,8-7,3,1.5,Ottavino,Kelley,,2:39,N,22705,+
16,16,Thursday Apr 23,boxscore,COL,,SDP,W,2,1,,9-7,3,0.5,Lyles,Ross,Axford,2:53,D,31676,++
17,17,Friday Apr 24,boxscore,COL,,SFG,W,6,4,,10-7,2,0.5,Butler,Heston,Ottavino,2:51,N,31453,+++
18,18,Saturday Apr 25,boxscore,COL,,SFG,L,4,5,11,10-8,2,1.5,Machi,Brown,,3:52,N,36474,-
19,19,Monday Apr 27,boxscore,COL,@,ARI,W,5,4,,11-8,2,1.0,Matzek,Anderson,Axford,3:29,N,17444,+
20,20,Tuesday Apr 28,boxscore,COL,@,ARI,L,5,12,,11-9,2,1.0,Chafin,Kendrick,,3:10,N,18792,-
21,21,Wednesday Apr 29,boxscore,COL,@,ARI,L,1,9,,11-10,2,2.0,Collmenter,Lyles,,2:34,N,19633,--
22,22,Friday May 1,boxscore,COL,@,SDP,L,3,14,,11-11,2,3.0,Kennedy,Butler,,3:26,N,30186,---
23,23,Saturday May 2,boxscore,COL,@,SDP,L,2,4,,11-12,3,4.0,Morrow,De La Rosa,Kimbrel,2:57,N,28058,----
24,24,Sunday May 3,boxscore,COL,@,SDP,L,6,8,,11-13,4,5.0,Shields,Kendrick,Kimbrel,3:12,D,34197,-----
25,25,Wednesday May 6 (1),boxscore,COL,,ARI,L,7,13,,11-14,5,5.5,Collmenter,Matzek,,3:29,D,0,------
26,26,Wednesday May 6 (2),boxscore,COL,,ARI,L,1,5,,11-15,5,5.5,Ray,Lyles,,2:31,D,22621,-------
27,27,Friday May 8,boxscore,COL,,LAD,L,1,2,6,11-16,5,7.0,Anderson,Butler,,1:41,N,32974,--------
28,28,Sunday May 10,boxscore,COL,,LAD,L,5,9,,11-17,5,8.0,Baez,Oberg,,3:36,D,30710,---------
29,29,Tuesday May 12,boxscore,COL,@,LAA,L,2,5,,11-18,5,9.5,Wilson,Betancourt,Street,2:44,N,28150,----------
30,30,Wednesday May 13,boxscore,COL,@,LAA,L-wo,1,2,11,11-19,5,9.5,Ramos,Friedrich,,3:18,N,30129,-----------
31,31,Thursday May 14,boxscore,COL,@,LAD,W,5,4,,12-19,5,8.5,Betancourt,Garcia,Axford,3:11,N,42650,+
32,32,Friday May 15,boxscore,COL,@,LAD,L,4,6,,12-20,5,9.5,Kershaw,Butler,Nicasio,3:34,N,46662,-
33,33,Saturday May 16,boxscore,COL,@,LAD,W,7,1,,13-20,5,8.5,De La Rosa,Greinke,,2:54,N,48378,+
34,34,Sunday May 17,boxscore,COL,@,LAD,L,0,1,,13-21,5,9.5,Bolsinger,Kendrick,Jansen,2:40,D,44990,-
35,35,Monday May 18,boxscore,COL,,PHI,L,3,4,,13-22,5,10.0,Hamels,Lyles,Papelbon,3:14,N,24061,--
36,36,Tuesday May 19,boxscore,COL,,PHI,W,6,5,,14-22,5,9.0,Oberg,De Fratus,Axford,2:54,N,21249,+
37,37,Wednesday May 20,boxscore,COL,,PHI,L,2,4,,14-23,5,9.0,Gonzalez,Butler,Papelbon,2:50,N,21714,-
38,38,Thursday May 21,boxscore,COL,,PHI,W,7,3,,15-23,5,8.0,Bergman,Williams,,3:15,D,25418,+
39,39,Friday May 22,boxscore,COL,,SFG,L,8,11,,15-24,5,9.0,Vogelsong,Kendrick,Casilla,3:33,N,31226,-
40,40,Saturday May 23 (1),boxscore,COL,,SFG,L,8,10,,15-25,5,9.5,Heston,Lyles,Casilla,3:04,D,32956,--
41,41,Saturday May 23 (2),boxscore,COL,,SFG,W,5,3,,16-25,5,9.5,Hale,Petit,Axford,2:45,N,30180,+
42,42,Sunday May 24,boxscore,COL,,SFG,W,11,2,,17-25,5,8.5,Bettis,Hudson,,2:49,D,34404,++
43,43,Monday May 25,boxscore,COL,@,CIN,W,5,4,,18-25,5,8.5,Betancourt,Chapman,Axford,2:59,D,20516,+++
44,44,Tuesday May 26,boxscore,COL,@,CIN,L-wo,1,2,,18-26,5,9.5,Chapman,Brown,,2:39,N,22523,-
45,45,Wednesday May 27,boxscore,COL,@,CIN,W,6,4,,19-26,5,8.5,Kendrick,Leake,Axford,2:46,D,23917,+
46,46,Friday May 29,boxscore,COL,@,PHI,W,4,1,,20-26,5,8.0,Bettis,Hamels,,2:32,N,22227,++
47,47,Saturday May 30,boxscore,COL,@,PHI,W,5,2,,21-26,5,7.5,Butler,Harang,Axford,3:23,D,23510,+++
48,48,Sunday May 31,boxscore,COL,@,PHI,W,4,1,,22-26,5,6.5,Rusin,Williams,Oberg,2:56,D,22166,++++
49,49,Monday Jun 1,boxscore,COL,,LAD,L,4,11,,22-27,5,7.5,Kershaw,Kendrick,,3:08,N,25564,-
50,50,Tuesday Jun 2 (1),boxscore,COL,,LAD,W,6,3,,23-27,5,7.5,De La Rosa,Thomas,Axford,3:01,D,28148,+
Rk,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
51,51,Tuesday Jun 2 (2),boxscore,COL,,LAD,L,8,9,,23-28,5,7.5,Ravin,Betancourt,Jansen,3:24,N,24972,-
52,52,Wednesday Jun 3,boxscore,COL,,LAD,W-wo,7,6,,24-28,5,6.5,Axford,Garcia,,3:44,N,24575,+
