GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
8610000US00501,501,"ZIP 00501 (Holtsville, NY)",0,Total for all sectors,2013,2,a,D,D
8610000US01001,1001,"ZIP 01001 (Agawam, MA)",0,Total for all sectors,2013,439,9418,92083,373116
8610000US01002,1002,"ZIP 01002 (Amherst, MA)",0,Total for all sectors,2013,572,17263,95047,398992
8610000US01003,1003,"ZIP 01003 (Amherst, MA)",0,Total for all sectors,2013,15,184,1754,7181
8610000US01004,1004,"ZIP 01004 (Amherst, MA)",0,Total for all sectors,2013,16,179,1168,5019
8610000US01005,1005,"ZIP 01005 (Barre, MA)",0,Total for all sectors,2013,97,844,6674,27261
8610000US01007,1007,"ZIP 01007 (Belchertown, MA)",0,Total for all sectors,2013,221,1819,12688,56706
8610000US01008,1008,"ZIP 01008 (Blandford, MA)",0,Total for all sectors,2013,18,250,800,2888
8610000US01009,1009,"ZIP 01009 (Bondsville, MA)",0,Total for all sectors,2013,16,c,1392,6998
8610000US01010,1010,"ZIP 01010 (Brimfield, MA)",0,Total for all sectors,2013,73,305,3126,13508
8610000US01011,1011,"ZIP 01011 (Chester, MA)",0,Total for all sectors,2013,13,34,239,1305
8610000US01012,1012,"ZIP 01012 (Chesterfield, MA)",0,Total for all sectors,2013,10,b,257,1048
8610000US01013,1013,"ZIP 01013 (Chicopee, MA)",0,Total for all sectors,2013,317,4278,36241,151328
8610000US01014,1014,"ZIP 01014 (Chicopee, MA)",0,Total for all sectors,2013,1,a,D,D
8610000US01020,1020,"ZIP 01020 (Chicopee, MA)",0,Total for all sectors,2013,550,7987,68297,290608
8610000US01021,1021,"ZIP 01021 (Chicopee, MA)",0,Total for all sectors,2013,8,224,1184,5329
8610000US01022,1022,"ZIP 01022 (Chicopee, MA)",0,Total for all sectors,2013,63,2523,28642,107088
8610000US01026,1026,"ZIP 01026 (Cummington, MA)",0,Total for all sectors,2013,19,119,856,4190
8610000US01027,1027,"ZIP 01027 (Easthampton, MA)",0,Total for all sectors,2013,372,4080,32847,135573
8610000US01028,1028,"ZIP 01028 (East Longmeadow, MA)",0,Total for all sectors,2013,503,7582,73947,303098
8610000US01029,1029,"ZIP 01029 (East Otis, MA)",0,Total for all sectors,2013,12,c,D,D
8610000US01030,1030,"ZIP 01030 (Feeding Hills, MA)",0,Total for all sectors,2013,202,1074,7111,33538
8610000US01031,1031,"ZIP 01031 (Gilbertville, MA)",0,Total for all sectors,2013,20,73,286,1348
8610000US01032,1032,"ZIP 01032 (Goshen, MA)",0,Total for all sectors,2013,19,90,804,3684
8610000US01033,1033,"ZIP 01033 (Granby, MA)",0,Total for all sectors,2013,131,686,4861,22578
8610000US01034,1034,"ZIP 01034 (Granville, MA)",0,Total for all sectors,2013,28,111,1105,6322
8610000US01035,1035,"ZIP 01035 (Hadley, MA)",0,Total for all sectors,2013,309,5012,34042,145342
8610000US01036,1036,"ZIP 01036 (Hampden, MA)",0,Total for all sectors,2013,108,630,4563,21980
8610000US01037,1037,"ZIP 01037 (Hardwick, MA)",0,Total for all sectors,2013,14,c,D,D
8610000US01038,1038,"ZIP 01038 (Hatfield, MA)",0,Total for all sectors,2013,64,1441,15116,61594
8610000US01039,1039,"ZIP 01039 (Haydenville, MA)",0,Total for all sectors,2013,33,258,2036,8683
8610000US01040,1040,"ZIP 01040 (Holyoke, MA)",0,Total for all sectors,2013,908,17313,166754,666871
8610000US01041,1041,"ZIP 01041 (Holyoke, MA)",0,Total for all sectors,2013,32,951,6605,26619
8610000US01050,1050,"ZIP 01050 (Huntington, MA)",0,Total for all sectors,2013,33,151,1027,4159
8610000US01053,1053,"ZIP 01053 (Leeds, MA)",0,Total for all sectors,2013,34,1351,24297,97591
8610000US01054,1054,"ZIP 01054 (Leverett, MA)",0,Total for all sectors,2013,36,114,835,3611
8610000US01056,1056,"ZIP 01056 (Ludlow, MA)",0,Total for all sectors,2013,413,4197,37219,173592
8610000US01057,1057,"ZIP 01057 (Monson, MA)",0,Total for all sectors,2013,145,739,6077,28716
8610000US01059,1059,"ZIP 01059 (North Amherst, MA)",0,Total for all sectors,2013,10,108,845,3465
8610000US01060,1060,"ZIP 01060 (Northampton, MA)",0,Total for all sectors,2013,772,11406,106267,439516
8610000US01061,1061,"ZIP 01061 (Northampton, MA)",0,Total for all sectors,2013,21,181,1203,5225
8610000US01062,1062,"ZIP 01062 (Florence, MA)",0,Total for all sectors,2013,191,1662,14810,59375
8610000US01063,1063,"ZIP 01063 (Northampton, MA)",0,Total for all sectors,2013,5,h,D,D
8610000US01066,1066,"ZIP 01066 (North Hatfield, MA)",0,Total for all sectors,2013,9,b,D,D
8610000US01068,1068,"ZIP 01068 (Oakham, MA)",0,Total for all sectors,2013,26,74,589,3045
8610000US01069,1069,"ZIP 01069 (Palmer, MA)",0,Total for all sectors,2013,261,2779,25143,111574
8610000US01070,1070,"ZIP 01070 (Plainfield, MA)",0,Total for all sectors,2013,9,27,148,643
8610000US01071,1071,"ZIP 01071 (Russell, MA)",0,Total for all sectors,2013,23,81,379,2127
8610000US01072,1072,"ZIP 01072 (Shutesbury, MA)",0,Total for all sectors,2013,17,58,211,1321
8610000US01073,1073,"ZIP 01073 (Southampton, MA)",0,Total for all sectors,2013,115,941,6701,30512
8610000US01074,1074,"ZIP 01074 (South Barre, MA)",0,Total for all sectors,2013,9,89,457,2241
8610000US01075,1075,"ZIP 01075 (South Hadley, MA)",0,Total for all sectors,2013,301,4581,34160,140766
8610000US01077,1077,"ZIP 01077 (Southwick, MA)",0,Total for all sectors,2013,211,2012,18890,79246
8610000US01079,1079,"ZIP 01079 (Thorndike, MA)",0,Total for all sectors,2013,12,58,477,1946
8610000US01080,1080,"ZIP 01080 (Three Rivers, MA)",0,Total for all sectors,2013,38,313,2364,9954
8610000US01081,1081,"ZIP 01081 (Wales, MA)",0,Total for all sectors,2013,14,40,268,1301
8610000US01082,1082,"ZIP 01082 (Ware, MA)",0,Total for all sectors,2013,171,2291,21846,85973
8610000US01083,1083,"ZIP 01083 (Warren, MA)",0,Total for all sectors,2013,36,247,2517,10968
8610000US01084,1084,"ZIP 01084 (West Chesterfield, MA)",0,Total for all sectors,2013,5,36,170,718
8610000US01085,1085,"ZIP 01085 (Westfield, MA)",0,Total for all sectors,2013,845,13704,131219,549700
8610000US01086,1086,"ZIP 01086 (Westfield, MA)",0,Total for all sectors,2013,17,824,5554,23959
8610000US01088,1088,"ZIP 01088 (West Hatfield, MA)",0,Total for all sectors,2013,30,316,2611,11443
8610000US01089,1089,"ZIP 01089 (West Springfield, MA)",0,Total for all sectors,2013,986,16152,144015,599320
8610000US01090,1090,"ZIP 01090 (West Springfield, MA)",0,Total for all sectors,2013,15,81,976,4237
8610000US01092,1092,"ZIP 01092 (West Warren, MA)",0,Total for all sectors,2013,21,b,557,2712
8610000US01093,1093,"ZIP 01093 (Whately, MA)",0,Total for all sectors,2013,29,f,8066,33422
8610000US01094,1094,"ZIP 01094 (Wheelwright, MA)",0,Total for all sectors,2013,2,a,D,D
8610000US01095,1095,"ZIP 01095 (Wilbraham, MA)",0,Total for all sectors,2013,307,3879,32550,151225
8610000US01096,1096,"ZIP 01096 (Williamsburg, MA)",0,Total for all sectors,2013,51,371,2635,12064
8610000US01098,1098,"ZIP 01098 (Worthington, MA)",0,Total for all sectors,2013,26,176,1678,7317
8610000US01101,1101,"ZIP 01101 (Springfield, MA)",0,Total for all sectors,2013,28,966,9037,34314
8610000US01102,1102,"ZIP 01102 (Springfield, MA)",0,Total for all sectors,2013,19,h,45353,184410
8610000US01103,1103,"ZIP 01103 (Springfield, MA)",0,Total for all sectors,2013,494,6176,58977,268323
8610000US01104,1104,"ZIP 01104 (Springfield, MA)",0,Total for all sectors,2013,528,13971,165645,745793
8610000US01105,1105,"ZIP 01105 (Springfield, MA)",0,Total for all sectors,2013,267,5612,46997,192990
8610000US01106,1106,"ZIP 01106 (Longmeadow, MA)",0,Total for all sectors,2013,286,3714,27197,126080
8610000US01107,1107,"ZIP 01107 (Springfield, MA)",0,Total for all sectors,2013,143,2235,30101,142258
8610000US01108,1108,"ZIP 01108 (Springfield, MA)",0,Total for all sectors,2013,271,2552,16636,67920
8610000US01109,1109,"ZIP 01109 (Springfield, MA)",0,Total for all sectors,2013,285,9445,72133,289523
8610000US01111,1111,"ZIP 01111 (Springfield, MA)",0,Total for all sectors,2013,8,h,D,D
