ID,rest_name,Telephone,Cuisine,insp_dt,grade,street_number,street_name,zipcode
48,SUBWAY,212-222-3748,Sandwiches/Salads/Mixed Buffet,9/23/2015,A,2165 ,FREDERICK DOUGLASS BLVD,10026
46,SUBWAY,212-222-2520,American ,9/18/2015,A,111 ,CENTRAL PARK NORTH,10026
44,STARBUCKS COFFEE #25348,347-637-0214,Café/Coffee/Tea,8/20/2015,A,240 ,MANHATTAN AVE,10026
13,FREDDY'S SOUL CARIBBEAN RESTAURANT CORP,212-866-1077,Caribbean,8/14/2015,A,1980 ,ADAM CLAYTON POWELL JR BLVD,10026
71,RESTAURANT LA SAVANE,646-490-4644,African,8/14/2015,Grade Pending,239 ,W 116TH ST,10026
6,CAFE AMRITA,212-222-0683,American ,8/10/2015,A,301 ,WEST 110 STREET,10026
40,SAFARI,917-554-0265,African,8/10/2015,A,219 ,W 116TH ST,10026
25,LEE LEE'S BAKED GOODS,917-493-6633,Bakery,8/6/2015,A,283 ,WEST 118 STREET,10026
27,LEVAIN BAKERY,646-455-0952,Bakery,8/5/2015,A,2167 ,FREDERICK DOUGLAS BOULEVARD,10026
70,RAVAGH PERSIAN GRILL,212-861-7900,Middle Eastern,8/5/2015,Grade Pending,1135 ,1ST AVE,10026
36,QUE RICO POLLO RESTAURANT & GRILL,212-222-2381,Spanish,7/27/2015,A,46 ,SAINT NICHOLAS AVE,10026
58,AMARETTO ESPRESSO BAR,917-250-1766,Café/Coffee/Tea,7/20/2015,Grade Pending,2124 ,FRDRCK DGLS BLVD,10026
61,CAFE FREDERICK HARLEM PARLOR,212-222-1987,American ,7/6/2015,Grade Pending,2104 ,FREDERICK DOUGLASS BLVD,10026
73,SMART PIZZA SALAD,646-850-8865,Pizza,6/29/2015,Grade Pending,65 ,LENOX AVE,10026
41,Seasoned Vegan,212-222-0092,Vegetarian,6/25/2015,A,55 ,ST. NICHOLAS AVENUE,10026
59,BILLIE'S BLACK BAR LOUNGE AND RESTAURANT,212-280-2248,Soul Food,6/25/2015,Grade Pending,271 ,WEST 119 STREET,10026
62,CANTINA,646-755-8864,Mexican,6/25/2015,Grade Pending,1838 ,ADAM CLAYTON POWELL JR BL,10026
50,TROPICAL GRILL RESTAURANT,212-316-0316,Spanish,6/19/2015,A,1917 ,7 AVENUE,10026
64,HARLEM FOOD COURT,212-722-7300,American ,6/16/2015,Grade Pending,66 ,W 116TH ST,10026
74,The Cecil/Minton's,212-866-1262,American ,6/13/2015,Grade Pending,206-210 ,WEST 118TH STREET,10026
42,SILVANA,646-692-4935,Mediterranean,6/11/2015,A,300 ,WEST 116TH STREET,10026
67,MAMA'S FRIED CHICKEN,212-531-4595,Chicken,6/11/2015,Grade Pending,2158 ,8 AVENUE,10026
3,ATOMIC WINGS,212-222-1478,Chicken,6/8/2015,A,2090 ,FRDRCK DGLS BLVD,10026
30,MESS HALL,917-951-9215,American ,6/8/2015,A,2194 ,FRDRCK DGLS BLVD,10026
65,MAHARAJA PALACE,212-222-8934,Indian,6/8/2015,Grade Pending,2113 ,FREDERICK DOUGLASS BLVD,10026
10,DUNKIN DONUTS,212-280-6414,Donuts,6/5/2015,A,2103 ,FREDERICK DOUGLASS BLVD,10026
5,BIER INTERNATIONAL,212-280-0944,American ,6/1/2015,A,2099 ,8 AVENUE,10026
17,IL CAFFE LATTE,212-222-2241,Café/Coffee/Tea,6/1/2015,A,189 ,LENOX AVENUE,10026
37,RED CHILLI INDIAN CAFE,646-964-5916,Indian,6/1/2015,A,108 ,WEST 116 STREET,10026
66,MAKE MY CAKE,212-932-0833,Bakery,5/29/2015,Grade Pending,121 ,ST NICHOLAS AVENUE,10026
72,SHUN CHEONG iKITCHEN,212-348-8889,Chinese,5/29/2015,Grade Pending,2-4 ,WEST 111 STREET,10026
1,67 ORANGE STREET,212-662-2030,American ,5/28/2015,A,2082 ,FREDERICK DOUGLAS BOULEVARD,10026
4,BAD HORSE PIZZA,212-749-1258,Pizza,5/27/2015,A,2224 ,FREDERICK DOUGLASS BOULEVARD,10026
32,MOCA BAR & LOUNGE,212-665-8081,American ,5/27/2015,A,2210 ,8 AVENUE,10026
2,AMY RUTH'S RESTAURANT,212-280-8779,Soul Food,5/26/2015,A,113 ,WEST 116 STREET,10026
7,CHOCOLAT,212-222-4545,American ,5/26/2015,A,2217 ,FREDERICK DOUGLASS BOULEVARD,10026
9,DUNKIN DONUT,212-222-0700,American ,5/21/2015,A,111 ,WEST 110 STREET,10026
45,STREETBIRD,212-206-2557,American ,5/7/2015,A,2149 ,FREDERICK DOUGLASS BOULEVARD,10026
63,HAI CHENG RESTAURANT,347-923-1028,American ,4/30/2015,Grade Pending,108 ,ST NICHOLAS AVENUE,10026
8,DOUBLE DUTCH ESPRESSO,917-951-9215,Café/Coffee/Tea,4/22/2015,A,2194 ,FREDRICK DOUGLAS BOULEVARD,10026
52,WONDER FRIED CHICKEN,212-866-1913,Chicken,4/22/2015,A,21 ,LENOX AVENUE,10026
39,ROYAL CURRY & KABAB,212-678-4434,Indian,4/21/2015,A,19-25 ,ST NICHOLAS AVENUE,10026
35,POPEYES CHICKEN & BISCUITS,212-289-0440,Chicken,4/20/2015,A,53 ,WEST 116 STREET,10026
38,RISTORANTE SETTEPANI,917-492-4806,Italian,4/16/2015,A,196 ,LENOX AVENUE,10026
47,SUBWAY,212-749-2522,Sandwiches,4/10/2015,A,301 ,CATHEDRAL PARKWAY,10026
31,MIST HARLEM,646-738-3043,American ,4/9/2015,A,46 ,WEST 116 STREET,10026
55,KEUR COUMBA RESTAURANT,212-866-3900,African,4/9/2015,B,125 ,WEST 116 STREET,10026
68,MELBA'S,212-864-7777,American ,4/9/2015,Grade Pending,300 ,WEST 114 STREET,10026
23,LA BODEGA 47 SOCIAL CLUB,212-280-4700,American ,4/8/2015,A,161 ,MALCOLM X BLVD,10026
54,JADO SUSHI,212-866-2118,Asian,4/3/2015,B,2110 ,FREDERICK DOUGLASS BOULEVARD,10026
57,THE 5 AND DIAMOND,917-860-4444,American ,4/2/2015,B,2072 ,FREDRICK DOUGLAS BOULEVARD,10026
26,L'ENCANTO D'LOLA,212-222-6969,Mexican,3/31/2015,A,57 ,LENOX AVENUE,10026
24,LE BAOBAB-GOUYGUI RESTAURANT,718-294-7882,African,3/26/2015,A,120 ,W 116TH ST,10026
69,PEKING KITCHEN II,212-222-7888,Chinese,3/16/2015,Grade Pending,2162 ,8 AVENUE,10026
14,HARLEM FOOD BAR,212-222-9570,American ,3/13/2015,A,2100 ,FREDERICK DOUGLASS BOULEVARD,10026
28,LIDO,646-490-8575,Italian,3/13/2015,A,2168 ,FREDERICK DOUGLAS BOULEVARD,10026
29,Lolo's Seafood Shack,646-541-8940,Seafood,3/13/2015,A,303 ,W 116TH ST,10026
11,DUNKIN' DONUTS BASKIN ROBBINS,212-860-9894,Donuts,3/11/2015,A,53 ,WEST 116 STREET,10026
15,HARLEM PIZZA CO.,212-222-9889,Pizza,3/11/2015,A,135 ,W 116TH ST,10026
16,HARLEM TAVERN,212-866-4500,American ,3/11/2015,A,2153 ,8 AVENUE,10026
33,NEW NO. 1 CHINESE RESTAURANT,212-722-3958,Chinese,3/11/2015,A,83 ,WEST 115 STREET,10026
56,PATISSERIE DES AMBASSADES,212-666-0078,French,3/2/2015,B,2200 ,FREDERICK DOUGLASS BOULEVARD,10026
34,NEW SECHUN GARDEN KITCHEN,212-666-6868,Chinese,2/26/2015,A,2076 ,8TH AVE,10026
49,THE PARK 112,646-524-6610,American ,2/26/2015,A,2080 ,FREDERICK DOUGLASS BLVD,10026
51,VINATERIA,212-662-8462,American ,2/26/2015,A,2211 ,FREDERICK DOUGLAS BOULEVARD,10026
20,KENNEDY FRIED CHICKEN,347-604-0506,Chicken,2/17/2015,A,1316 ,5 AVENUE,10026
22,L Lounge,212-961-1010,American ,2/17/2015,A,2131 ,FREDERICK DOUGLASS BOULEVARD,10026
53,ZOMA,212-662-0620,Ethiopian,2/17/2015,A,2084 ,FREDRICK DOUGLAS BOULEVARD,10026
60,BUNZ,212-866-7760,American ,2/10/2015,Grade Pending,271 ,WEST 119 STREET,10026
12,EMPIRE III,212-280-8880,Chinese,2/9/2015,A,1902 ,A C POWELL BLVD,10026
21,KENNEDY FRIED CHICKEN,347-281-2013,Chicken,2/9/2015,A,2144 ,8TH AVE,10026
43,STARBUCKS COFFEE,212-662-1239,Café/Coffee/Tea,12/16/2014,A,2195 ,FREDERICK DOUGLAS BOULEVARD,10026
18,JUKE BOX JUICE & SALAD,917-807-7870,Salads,11/25/2014,A,1943 ,ADAM CLAYTON POWELL JR BOULEVARD,10026
19,JUMBOS HAMBURGER,212-665-9600,Hamburgers,10/21/2014,A,112 ,WEST 116 STREET,10026
