CAMIS,DBA,BUILDING,STREET,ZIPCODE,CUISINE DESCRIPTION,INSPECTION TYPE,INSPECTION DATE,ACTION,SCORE,GRADE,GRADE DATE,Count
30191841,DJ REYNOLDS PUB AND RESTAURANT,351       ,WEST   57 STREET                                  ,10019,Irish,Cycle Inspection / Re-inspection,9/21/2015 0:00,Violations were cited in the following area(s).,8,A,9/21/2015,2
40364179,SPOONBREAD TOO,364       ,WEST  110 STREET                                  ,10025,Soul Food,Cycle Inspection / Compliance Inspection,9/21/2015 0:00,Violations were cited in the following area(s).,13,,,2
40364347,METROPOLITAN CLUB,1,EAST   60 STREET,10022,American ,Cycle Inspection / Initial Inspection,9/23/2015 0:00,Violations were cited in the following area(s).,25,,,4
40364362,21 CLUB,21,WEST   52 STREET,10019,American ,Cycle Inspection / Initial Inspection,9/9/2015 0:00,Violations were cited in the following area(s).,6,A,9/9/2015,3
40364389,OLD TOWN BAR & RESTAURANT,45,EAST   18 STREET,10003,American ,Cycle Inspection / Re-inspection,9/24/2015 0:00,Violations were cited in the following area(s).,17,Z,9/24/2015,3
40364389,OLD TOWN BAR & RESTAURANT,45,EAST   18 STREET,10003,American ,Cycle Inspection / Initial Inspection,9/14/2015 0:00,Violations were cited in the following area(s).,61,,,7
40364389,OLD TOWN BAR & RESTAURANT,45,EAST   18 STREET,10003,American ,Trans Fat / Initial Inspection,9/14/2015 0:00,Violations were cited in the following area(s).,,,,1
40365239,DORRIAN'S RED HAND RESTAURANT,1616,2 AVENUE,10028,Irish,Cycle Inspection / Re-inspection,9/18/2015 0:00,Violations were cited in the following area(s).,11,A,9/18/2015,2
40365288,KEATS RESTAURANT,842       ,2 AVENUE                                          ,10017,American ,Cycle Inspection / Re-inspection,9/14/2015 0:00,Violations were cited in the following area(s).,23,Z,9/14/2015,4
40365525,DONUT PUB,203       ,WEST   14 STREET                                  ,10011,Donuts,Cycle Inspection / Re-inspection,10/14/2015 0:00,Violations were cited in the following area(s).,28,Z,10/14/2015,7
40365525,DONUT PUB,203       ,WEST   14 STREET                                  ,10011,Donuts,Smoke-Free Air Act / Re-inspection,10/14/2015 0:00,Violations were cited in the following area(s).,,,,1
40365525,DONUT PUB,203       ,WEST   14 STREET                                  ,10011,Donuts,Administrative Miscellaneous / Re-inspection,10/14/2015 0:00,Violations were cited in the following area(s).,,,,1
40365525,DONUT PUB,203       ,WEST   14 STREET                                  ,10011,Donuts,Cycle Inspection / Initial Inspection,9/24/2015 0:00,Violations were cited in the following area(s).,32,,,5
40365644,JOE ALLEN RESTAURANT,326,WEST   46 STREET,10036,American ,Cycle Inspection / Re-inspection,10/9/2015 0:00,Violations were cited in the following area(s).,11,A,10/9/2015,3
40365644,JOE ALLEN RESTAURANT,326,WEST   46 STREET,10036,American ,Cycle Inspection / Initial Inspection,9/17/2015 0:00,Violations were cited in the following area(s).,41,,,5
40365789,PATSY'S ITALIAN RESTAURANT,236,WEST   56 STREET,10019,Italian,Cycle Inspection / Re-inspection,10/5/2015 0:00,Violations were cited in the following area(s).,13,A,10/5/2015,3
40365882,NEW YORK PIZZA SUPREMA,413       ,8 AVENUE                                          ,10001,Pizza,Cycle Inspection / Initial Inspection,9/29/2015 0:00,Violations were cited in the following area(s).,20,,,5
